ANTH 19601.  Populism and Its Discontents. 
ANTH 20003.  Discovering Anthropology: Reading Race. 
"ANTH 20009.  Embodiment: Governance, Resistance, Ethics. "
ANTH 20010.  Anthropology of the Future. 
"ANTH 20011.  Peasants: Anthropology, Rural Life, Capitalism. "
ANTH 20144.  London Program:  Institution. 
ANTH 20400.  Anthropology of Olympic Sport. 
ANTH 20405.  Anthropology of Disability. 
ANTH 20420.  Anthropology of Olympic Sport. 
ANTH 20540.  The Chicago Climate Change & Culture Institute-I. 
ANTH 20541.  The Chicago Climate Change & Culture Institute-II. 
ANTH 20701.  Introduction to African Civilization I. 
ANTH 20702.  Introduction to African Civilization II. 
ANTH 20703.  Introduction to African Civilization III. 
ANTH 21107.  Anthropological Theory. 
ANTH 21201.  Chicago Blues. 
ANTH 21303.  Making the Natural World: Foundations of Human Ecology. 
ANTH 21306.  Explorations in Oral Narrative. 
"ANTH 21333.  The Lived Body: Anthropology, Materiality, Meaningful Practice. "
ANTH 21341.  Making Plants Work: Anthropology of Human-Plant Relationships. 
ANTH 21342.  Welcome to the Good Life: The Black Edition. 
ANTH 21343.  Anthropology and/of Tourism: Of Otherness and Encounters. 
ANTH 21344.  The Meaning of Police. 
ANTH 21406.  Celebrity and Science in Paleoanthropology. 
ANTH 21420.  Ethnographic Methods. 
ANTH 21428.  Apes and Human Evolution. 
"ANTH 21431.  Counting, Calculation and Computation: Anthropologies of Number. "
"ANTH 21525.  Love, Conjugality, and Capital: Intimacy in the Modern World. "
"ANTH 21730.  Science, Technology and Media via Japan. "
ANTH 22129.  The Vocation of a Scientist. 
ANTH 22165.  Politics of Technoscience in Africa. 
ANTH 22170.  Taste and Technoscience. 
ANTH 22710.  Signs and the State. 
"ANTH 22825.  Globalization, Immigration, and Culture. "
ANTH 23026.  Science in the South: Decolonizing the Study of Knowledge in Latin America & the Caribbean. 
ANTH 23027.  Toxic States: Corrupted Ecologies in Latin America and the Caribbean. 
"ANTH 23062.  Contemporary Studies on Ayllu, Kinship, and Social Organization in the Andes. "
ANTH 23093.  Latin American Extractivisms. 
ANTH 23096.  Development and the Right to Housing in Latin America: A Critical Appraisal. 
ANTH 23101.  Introduction to Latin American Civilization I. 
ANTH 23102.  Introduction to Latin American Civilization II. 
ANTH 23103.  Introduction to Latin American Civilization III. 
ANTH 23405.  War: What's It Good For? 
ANTH 23607.  The Immigrant as American Prototype. 
"ANTH 23700.  Capitalism, Colonialism, and Nationalism in the Pacific. "
ANTH 23802.  Populism and its Discontents. 
"ANTH 23906.  Magic, Science, and Religion. "
ANTH 23911.  Anthropology of Religion. 
ANTH 24001.  Colonizations I. 
ANTH 24002.  Colonizations II. 
ANTH 24003.  Colonizations III. 
ANTH 24101.  Introduction to the Civilizations of South Asia I. 
ANTH 24102.  Introduction to the Civilizations of South Asia II. 
ANTH 24302.  Disability in Local and Global Contexts. 
"ANTH 24307.  Lab, Field, and Clinic: History and Anthropology of Medicine and the Life Sciences. "
ANTH 24308.  History of Perception. 
ANTH 24309.  Reproductive Worlds. 
