Course_Num,Dept,Num,Title
1,ANTH,19601,Populism and Its Discontents
2,ANTH,20009,"Embodiment: Governance, Resistance, Ethics"
3,ANTH,20010,Anthropology of the Future
4,ANTH,20011,"Peasants: Anthropology, Rural Life, Capitalism"
5,ANTH,20144,London Program: Institution
6,ANTH,20400,Anthropology of Olympic Sport
7,ANTH,20405,Anthropology of Disability
8,ANTH,20420,Anthropology of Olympic Sport
9,ANTH,20540,The Chicago Climate Change & Culture Institute-I
10,ANTH,20541,The Chicago Climate Change & Culture Institute-II
11,ANTH,20701,Introduction to African Civilization I
12,ANTH,20702,Introduction to African Civilization II
13,ANTH,20703,Introduction to African Civilization III
14,ANTH,21107,Anthropological Theory
15,ANTH,21201,Chicago Blues
16,ANTH,21303,Making the Natural World: Foundations of Human Ecology
17,ANTH,21306,Explorations in Oral Narrative
18,ANTH,21333,"The Lived Body: Anthropology, Materiality, Meaningful Practice"
19,ANTH,21341,Making Plants Work: Anthropology of Human-Plant Relationships
20,ANTH,21342,Welcome to the Good Life: The Black Edition
21,ANTH,21343,Anthropology and/of Tourism: Of Otherness and Encounters
22,ANTH,21344,The Meaning of Police
23,ANTH,21406,Celebrity and Science in Paleoanthropology
24,ANTH,21420,Ethnographic Methods
25,ANTH,21428,Apes and Human Evolution
26,ANTH,21431,"Counting, Calculation and Computation: Anthropologies of Number"
27,ANTH,21525,"Love, Conjugality, and Capital: Intimacy in the Modern World"
28,ANTH,21730,"Science, Technology and Media via Japan"
29,ANTH,22129,The Vocation of a Scientist
30,ANTH,22165,Politics of Technoscience in Africa
31,ANTH,22170,Taste and Technoscience
32,ANTH,22710,Signs and the State
33,ANTH,22825,"Globalization, Immigration, and Culture"
34,ANTH,23026,Science in the South: Decolonizing the Study of Knowledge in Latin America & the Caribbean
35,ANTH,23027,Toxic States: Corrupted Ecologies in Latin America and the Caribbean
36,ANTH,23062,"Contemporary Studies on Ayllu, Kinship, and Social Organization in the Andes"
37,ANTH,23093,Latin American Extractivisms
38,ANTH,23096,Development and the Right to Housing in Latin America: A Critical Appraisal
39,ANTH,23101,Introduction to Latin American Civilization I
40,ANTH,23102,Introduction to Latin American Civilization II
41,ANTH,23103,Introduction to Latin American Civilization III
42,ANTH,23405,War: What's It Good For
43,ANTH,23607,The Immigrant as American Prototype
44,ANTH,23700,"Capitalism, Colonialism, and Nationalism in the Pacific"
45,ANTH,23802,Populism and its Discontents
46,ANTH,23906,"Magic, Science, and Religion"
47,ANTH,23911,Anthropology of Religion
48,ANTH,24001,Colonizations I
49,ANTH,24002,Colonizations II
50,ANTH,24003,Colonizations III
51,ANTH,24101,Introduction to the Civilizations of South Asia I
52,ANTH,24102,Introduction to the Civilizations of South Asia II
53,ANTH,24302,Disability in Local and Global Contexts
54,ANTH,24307,"Lab, Field, and Clinic: History and Anthropology of Medicine and the Life Sciences"
55,ANTH,24308,History of Perception
56,ANTH,24309,Reproductive Worlds
57,ANTH,24312,"Body & Soul: The Anthropology of Religion, Health, & Healing"
58,ANTH,24315,"Culture, Mental Health, and Psychiatry"
59,ANTH,24316,Thinking Psychoanalytically: From the Sciences to the Arts
60,ANTH,24320,Cultural Psychology
61,ANTH,24330,Medical Anthropology
62,ANTH,24345,"Anthropology and 'The Good Life': Ethics, Morality, Well-Being"
63,ANTH,24350,Historical Epistemology & Contemporary Biomedicine
64,ANTH,24351,Philosophies of Praxis and Conjuncture
65,ANTH,24355,Experiencing Madness: Empathic Methods in Cultural Psychiatry
66,ANTH,24510,Anthropology Of Museums-1
67,ANTH,24511,Anthropology Of Museum-2
68,ANTH,24520,Temple or Forum: Designing the Obama Presidential Center
69,ANTH,24810,Atmospherics
70,ANTH,25100,Anthropology of the Body
71,ANTH,25117,About Nature: From Science to Sense
72,ANTH,25118,Earthbound Metaphysics: Speculations on Earths and Heavens
73,ANTH,25148,Israel in Film and Ethnography
74,ANTH,25150,Anthropology of Israel
75,ANTH,25200,Approaches to Gender in Anthropology
76,ANTH,25207,"Gender, Sexuality, & Religion"
77,ANTH,25209,Morality across the Life Course
78,ANTH,25255,"Borders, (Im)mobilities and Human Rights"
79,ANTH,25305,Anthropology of Food and Cuisine
80,ANTH,25401,Consumption
81,ANTH,25411,California: Utopia/Dystopia
82,ANTH,25905,Introduction to the Musical Folklore of Central Asia
83,ANTH,25906,Shamans and Oral Poets of Central Asia
84,ANTH,25908,Balkan Folklore
85,ANTH,25975,AdvRdgs: Anthropology of the Modern Subject
86,ANTH,26100,Ancient Celtic Societies
87,ANTH,26710,Ancient Landscapes I
88,ANTH,26711,Ancient Landscapes II
89,ANTH,26760,Archaeology of Bronze Age China
90,ANTH,26765,"Archaeology of Anyang: Bronzes, Inscriptions, and World Heritage"
91,ANTH,26900,Archaeological Data Sets
92,ANTH,27116,"Language and Migration: Individual, Social and Institutional Perspectives"
93,ANTH,27305,Pornography and Language
94,ANTH,27400,Language/Power/Identity in South East Europe
95,ANTH,27430,Linguistic Politics: Language Revitalization
96,ANTH,27601,Populism and Its Discontents
97,ANTH,27605,"Language, Culture, and Thought"
98,ANTH,27700,Romani Language and Linguistics
99,ANTH,27902,Modern Spoken Yucatec Maya-2
100,ANTH,27903,Modern Spoken Yucatec Maya-3
101,ANTH,28110,Human Origins: Milestones in Human Evolution and the Fossil Record
102,ANTH,28400,Bioarchaeology and the Human Skeleton
103,ANTH,29500,Archaeology Laboratory Practicum
104,ANTH,29601,Populism and Its Discontents
105,ANTH,29700,Readings in Anthropology
106,ANTH,29900,Preparation of Bachelor's Essay
107,ANTH,29910,Bachelor's Essay Seminar
108,ARTH,10100,Introduction to Art
109,ARTH,14105,Introduction to Roman Art and Archaeology
110,ARTH,14107,Greek Art and Archaeology
111,ARTH,14200,Introduction to Medieval Art
112,ARTH,14400,Italian Renaissance Art
113,ARTH,15650,Art Since 1900
114,ARTH,15780,Modern Art from the Enlightenment until Today
115,ARTH,15800,Contemporary Art
116,ARTH,17121,The Art of Leonardo da Vinci
117,ARTH,17410,Frank Lloyd Wright in Chicago and Beyond
118,ARTH,17504,Art in Chicago
119,ARTH,17613,"Architecture, Power, & Urban Development in Rome: Romulus to Mussolini"
120,ARTH,17700,19th Century French Art in the Art Institute
121,ARTH,17705,A Curating History: The Documenta Case
122,ARTH,17735,The Art of Post-Revolutionary Mexico
123,ARTH,18000,Photography And Film
124,ARTH,18206,"Drawing, Building, Bulldozer: Intro to Architecture & Built Env"
125,ARTH,20000,Introduction to Film Analysis
126,ARTH,20612,Early Christian and Late Ancient Jewish Art
127,ARTH,20700,Understanding the Built Environment
128,ARTH,21320,Philippe Parreno's Media Temporalities
129,ARTH,21410,"Advanced Theories of Sex/Gender: Ideology, Culture, and Sexuality"
130,ARTH,21810,Post-War American Avant-Garde
131,ARTH,22020,Contemporary Art from Latin America
132,ARTH,22106,Introduction to the Study of Iconography
133,ARTH,22302,"Byzantium: Art, Religion, Culture"
134,ARTH,22402,Perspective as a Challenge to Art History
135,ARTH,22405,Perspective: Rhetoric & Poetic
136,ARTH,23015,Ornament and Islamic Art
137,ARTH,23700,The Painted Room in Early Modern Italy and China
138,ARTH,23804,COSI: Italian Renaissance
139,ARTH,23807,"Rhoades Seminar: Art, War, & Pageantry in Medieval & Early Modern Europe"
140,ARTH,23808,COSI: Etched & Incised - Renaissance & Baroque Printmaking in Europe & Beyond
141,ARTH,24002,Advanced Nonfiction Workshop: Writing About the Arts
142,ARTH,24008,Advanced Nonfiction Workshop: Drawing from Life
143,ARTH,24170,Research the Chicago Cityscape
144,ARTH,24190,Imagining Chicago's Common Buildings
145,ARTH,24250,A Visual History of Latin American Women
146,ARTH,24415,The Bauhaus at 100
147,ARTH,24416,Biocentrism: The Concept of Life in German Literature and Art
148,ARTH,24625,Chinese Art & Material Culture in the Field Museum Collection
149,ARTH,24810,The Body and Embodiment in Ancient Greek Art
150,ARTH,25115,Winckelmann: Enlightenment Art Historian and Philosopher
151,ARTH,25202,Visual Encounters in the Global Renaissance
152,ARTH,25213,Hermeneutics of the Image
153,ARTH,25300,Pilgrimage in Antiquity and the Early Christendom
154,ARTH,25500,Avant-Garde in East Central Europe
155,ARTH,25708,Imagining Private Life in Early Modern China
156,ARTH,25885,20th Century American Drama
157,ARTH,25900,Theories of Media
158,ARTH,26110,Ways of Curating and Collecting
159,ARTH,26200,Magic and the Cinema
160,ARTH,26790,A Curating Case-Study: The Hut
161,ARTH,27301,Aesthetics: Phil/Photo/Film
162,ARTH,27304,Photo/Modernism/Esthetic
163,ARTH,27420,Modernist Architecture on Campus
164,ARTH,27800,The Material Science of Art (Suzanne Deal Booth Conservation Seminar
165,ARTH,28002,Islamic Art and Architecture of the Medieval Perso-Turkic Courts
166,ARTH,28405,The Films of Alfred Hitchcock
167,ARTH,28500,History of International Cinema I: Silent Era
