course_id,Quarter,Year,Professor,num_due,grade_breakdown,office_hours,by_appointment
860,Winter,2019,LIST JOHN,Not enough information available.,No grade breakdown available.,N/A,N/A
860,Winter,2019,PRICE MICHAEL,Not enough information available.,No grade breakdown available.,N/A,N/A
860,Winter,2019,JOHN LIST,Not enough information available.,No grade breakdown available.,N/A,N/A
1707,Winter,2019,PETER DUDA,Not enough information available.,midterm : 25%; final exam: 35%; participation: 15%; assignments: 25%,0,No
2903,Winter,2018,DONALD HARPER,2,assignment: 5%,N/A,N/A
2903,Winter,2018,ALEXIS BECKER,2,assignment: 5%,N/A,N/A
2903,Winter,2018,ALEXIS BECKER,2,assignment: 5%,N/A,N/A
2903,Winter,2018,SAMUEL ROWE,2,assignment: 5%,N/A,N/A
2903,Winter,2018,LARISSA BREWER-GARCIA,2,assignment: 5%,N/A,N/A
2903,Winter,2018,RACHEL KYNE,2,assignment: 5%,N/A,N/A
2903,Winter,2018,ANDREW OLLETT,2,assignment: 5%,N/A,N/A
2903,Winter,2018,HOYT LONG,2,assignment: 5%,N/A,N/A
2903,Winter,2018,LUCY ALFORD,2,assignment: 5%,N/A,N/A
2903,Winter,2018,LUCY ALFORD,2,assignment: 5%,N/A,N/A
2903,Winter,2018,ULRIKE STARK,2,assignment: 5%,N/A,N/A
2903,Winter,2018,MARIA ANNA MARIANI,2,assignment: 5%,N/A,N/A
2903,Winter,2018,ARMANDO MAGGI,2,assignment: 5%,N/A,N/A
3749,Winter,2019,N,0,final essay: 30%; participation: 20%; papers: 30%; lead discussion: 20%,1,Yes
3749,Winter,2019,/,0,final essay: 30%; participation: 20%; papers: 30%; lead discussion: 20%,1,Yes
3749,Winter,2019,A,0,final essay: 30%; participation: 20%; papers: 30%; lead discussion: 20%,1,Yes
717,Winter,2018,DANIEL RAEBURN,Not enough information available.,No grade breakdown available.,3,Yes
3625,Autumn,2017,ROBERT RICHARDS,Not enough information available.,No grade breakdown available.,N/A,N/A
3722,Spring,2017,CECILE FROMONT,Not enough information available.,final paper: 35%; participation: 20%,1.3333333333,No
3751,Spring,2017,RYAN KELLOGG,Not enough information available.,participation: 20%; strategy game: 30%; net neutrality: 10%; problem sets: 10%,4.5,No
2836,Winter,2018,ROSEMARY ZARAGOZA,1,participation: 10%; assignments: 15%,0.5,Yes
818,Winter,2019,KIM JIEUN,0,tests: 6%; tests: 24%; participation: 16%; assignments: 17%; vocabulary quizzes: 10%; final examination: 21%; compositions: 6%,1,Yes
339,Spring,2017,MEISHAN ZHAO,2,No grade breakdown available.,1,Yes
3725,Winter,2019,SEAMUS POWER,1,final paper: 33%; participation: 34%; project: 33%,0,Yes
715,Spring,2018,BAIRD HARPER,0,No grade breakdown available.,1.5,No
2957,Winter,2018,NOBORU NAKAMURA,1,No grade breakdown available.,0,Yes
661,Spring,2017,MATTHEW WACHS,Not enough information available.,project: 50%; assignments: 50%,7,No
3747,Spring,2017,NADINE MOELLER,0,final paper: 50%; selected readings: 50%,3,No
3770,Spring,2018,NATHAN ROHRER,Not enough information available.,a 94: 100%,0,Yes
1010,Winter,2018,RAYMOND LODATO,Not enough information available.,No grade breakdown available.,2,No
2688,Autumn,2018,"DANIEL  MASSATT, MICOL FEDERICA TRESOLDI",1,final exam: 35%; assignments: 15%,-7,No
885,Winter,2018,DEREK A NEAL,Not enough information available.,No grade breakdown available.,1,No
885,Winter,2018,DEREK A NEAL,Not enough information available.,No grade breakdown available.,1,No
2318,Spring,2017,"CELINE BORDEAUX, CELINE BORDEAUX",Not enough information available.,No grade breakdown available.,N/A,N/A
2318,Spring,2017,"CELINE BORDEAUX, CELINE BORDEAUX",Not enough information available.,No grade breakdown available.,N/A,N/A
3673,Autumn,2017,N,Not enough information available.,No grade breakdown available.,0,Yes
3673,Autumn,2017,/,Not enough information available.,No grade breakdown available.,0,Yes
3673,Autumn,2017,A,Not enough information available.,No grade breakdown available.,0,Yes
814,Autumn,2017,JIEUN KIM,0,tests: 15%; tests: 15%; tests: 16%; assignments: 21%; vocabulary quizzes: 10%; final examination: 13%; performance: 25%,1,Yes
814,Autumn,2017,JIEUN KIM,0,tests: 15%; tests: 15%; tests: 16%; assignments: 21%; vocabulary quizzes: 10%; final examination: 13%; performance: 25%,1,Yes
3761,Spring,2018,AUSTIN CARSON,Not enough information available.,participation: 15%; paper: 70%; discussion leader: 15%,2,No
2134,Autumn,2018,KELLY FAIG,0,final paper: 30%; papers: 25%; during class: 25%; leader performance: 20%,0,Yes
3641,Spring,2018,DAVID SIMON,Not enough information available.,participation: 20%; project: 35%; online discussion: 15%; paper 1: 30%,2,No
3685,Winter,2018,LESLIE DANZIG,Not enough information available.,final paper: 12%; participation: 36%; project: 20%; assignments: 12%; artist presentation: 10%; responses: 10%,N/A,N/A
3778,Autumn,2018,RACHEL COHEN,Not enough information available.,No grade breakdown available.,2,Yes
1735,Autumn,2017,ANTHONY CHEUNG,2,quiz: 20%; project: 20%; assignments: 10%; online responses: 20%; concert report: 10%; electronic composition: 10%,0,No
391,Autumn,2018,JAMES F LASTRA,0,participation: 25%; paper: 15%; paper: 25%; paper: 35%,-4.3333333333,Yes
391,Autumn,2018,KARA  KEELING,0,participation: 25%; paper: 15%; paper: 25%; paper: 35%,-4.3333333333,Yes
391,Autumn,2018,JAMES ROSENOW,0,participation: 25%; paper: 15%; paper: 25%; paper: 35%,-4.3333333333,Yes
3757,Spring,2018,N,Not enough information available.,homework: 50%; participation: 20%; projects: 30%,1,Yes
3757,Spring,2018,/,Not enough information available.,homework: 50%; participation: 20%; projects: 30%,1,Yes
3757,Spring,2018,A,Not enough information available.,homework: 50%; participation: 20%; projects: 30%,1,Yes
932,Winter,2019,MCENERNEY LAWRENCE D ; COCHRAN KATHRYN ; WEINER TRACY,0,No grade breakdown available.,N/A,N/A
932,Winter,2019,COCHRAN KATHRYN ; WEINER TRACY,0,No grade breakdown available.,N/A,N/A
932,Winter,2019,"LAWRENCE MCENERNEY, KATHRYN COCHRAN, TRACY WEINER",0,No grade breakdown available.,N/A,N/A
2027,Winter,2018,MARK J OREGLIA,Not enough information available.,No grade breakdown available.,N/A,N/A
3679,Winter,2018,N,Not enough information available.,No grade breakdown available.,N/A,N/A
3679,Winter,2018,/,Not enough information available.,No grade breakdown available.,N/A,N/A
3679,Winter,2018,A,Not enough information available.,No grade breakdown available.,N/A,N/A
2921,Winter,2017,ANDREW BROUGHTON,0,No grade breakdown available.,1.5,No
2921,Winter,2017,HEATHER KEENLEYSIDE,0,No grade breakdown available.,1.5,No
2921,Winter,2017,BENJAMIN MORGAN,0,No grade breakdown available.,1.5,No
2921,Winter,2017,JULIE ORLEMANSKI,0,No grade breakdown available.,1.5,No
2921,Winter,2017,TRISTAN BATES,0,No grade breakdown available.,1.5,No
2921,Winter,2017,HAITHAM IBRAHIM,0,No grade breakdown available.,1.5,No
2921,Winter,2017,HAITHAM IBRAHIM,0,No grade breakdown available.,1.5,No
2921,Winter,2017,CHRISTOPHER TAYLOR,0,No grade breakdown available.,1.5,No
2921,Winter,2017,MARIUS HAUKNES,0,No grade breakdown available.,1.5,No
2921,Winter,2017,MARIUS HAUKNES,0,No grade breakdown available.,1.5,No
2921,Winter,2017,TYLER WILLIAMS,0,No grade breakdown available.,1.5,No
2921,Winter,2017,ANNA SEASTRAND,0,No grade breakdown available.,1.5,No
2921,Winter,2017,JUDITH ZEITLIN,0,No grade breakdown available.,1.5,No
2921,Winter,2017,CARYN O'CONNELL,0,No grade breakdown available.,1.5,No
2825,Winter,2017,ALISON HUNTER,Not enough information available.,attendance: 20%,0,Yes
3619,Spring,2018,"LINDA ZERILLI, AGATHA SLUPEK",Not enough information available.,participation: 50%; paper: 50%,5,No
3647,Autumn,2015,LEUCHTER TYSON,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,JEFFERY BENJAMIN,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,FUGIEL III PETER,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,JOHNSON CAROLYN,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,BROUGHTON CHARLES (CHAD),Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
3647,Autumn,2015,KENT STACIE,Not enough information available.,final paper: 25%; participation: 25%; papers: 60%; paper: 15%; paper: 20%; paper: 25%; cutoff percentages: 93%; class leadership: 15%,2.8333333333,Yes
